Year,Month,Day,Precipitation,MaxTemp,MinTemp
2024,11,09,0.0,25.6,19.8
2024,11,10,0.0,24.2,19.9
2024,11,11,0.0,24.8,18.2
2024,11,12,0.0,24.9,18.7
2024,11,13,0.0,25.9,20.3
2024,11,14,0.0,25.1,20.0
2024,11,15,0.0,23.9,19.7
2024,11,16,0.0,25.9,17.8
2024,11,17,0.0,26.5,20.1
2024,11,18,0.0,27.3,19.0
2024,11,19,0.0,27.7,20.1
2024,11,20,0.0,25.3,18.3
2024,11,21,0.0,24.5,18.9
2024,11,22,0.0,26.4,20.1
2024,11,23,0.05,25.8,21.0
2024,11,24,0.0,26.5,20.3
2024,11,25,0.0,26.4,19.1
2024,11,26,0.05,27.0,20.1
2024,11,27,0.0,27.5,18.7
2024,11,28,0.0,26.7,19.2
2024,11,29,0.0,27.4,21.5
2024,11,30,0.0,27.4,21.1
2024,12,01,0.05,28.8,20.9
2024,12,02,0.05,24.7,21.9
2024,12,03,0.0,27.4,21.4
2024,12,04,0.0,26.4,22.6
2024,12,05,0.05,27.1,21.8
2024,12,06,0.05,28.4,23.2
2024,12,07,0.0,27.9,21.4
2024,12,08,0.0,26.7,19.3
2024,12,09,0.0,26.2,21.4
2024,12,10,0.0,26.9,21.2
2024,12,11,0.0,27.4,21.3
2024,12,12,0.0,26.2,19.6
2024,12,13,0.0,27.6,20.4
2024,12,14,0.0,28.4,20.6
2024,12,15,0.0,25.6,21.0
2024,12,16,0.0,28.0,20.8
2024,12,17,0.0,27.6,21.8
2024,12,18,0.0,27.8,20.9
2024,12,19,0.0,28.0,22.2
2024,12,20,0.0,25.9,22.1
2024,12,21,0.0,27.0,23.5
2024,12,22,0.0,27.5,20.8
2024,12,23,0.0,27.5,23.0
2024,12,24,0.0,27.6,23.1
2024,12,25,0.0,29.4,21.9
2024,12,26,0.05,27.3,24.7
2024,12,27,0.0,26.5,21.3
2024,12,28,0.0,27.9,22.9
2024,12,29,0.05,24.2,22.6
2024,12,30,0.0,27.1,21.1
2024,12,31,0.05,28.7,20.9
